# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  143, 11 13,         radical,        2,  3,  3,  0,   0,   7,   10,  5,   27,  19,  32,  20,  14,  2,   37,  25,  21,  9,   1,   70
  144, 2⁴ 3²,         ,               0,  4,  4,  1,   1,   8,   11,  6,   28,  20,  33,  21,  15,  3,   38,  26,  22,  10,  2,   71
  145, 5 29,          radical,        1,  0,  5,  2,   2,   9,   12,  7,   0,   21,  34,  22,  16,  4,   39,  27,  23,  11,  3,   72
  146, 2 73,          radical,        2,  1,  6,  3,   3,   10,  13,  8,   1,   22,  35,  23,  17,  5,   40,  28,  24,  12,  4,   0
  147, 3 7²,          ,               0,  2,  0,  4,   4,   11,  14,  9,   2,   23,  36,  24,  18,  6,   41,  29,  25,  13,  5,   1
  148, 2² 37,         ,               1,  3,  1,  5,   5,   12,  15,  10,  3,   24,  0,   25,  19,  7,   42,  30,  26,  14,  6,   2
  149, 149,           prime,          2,  4,  2,  6,   6,   13,  16,  11,  4,   25,  1,   26,  20,  8,   43,  31,  27,  15,  7,   3
  150, 2 3 5²,        ,               0,  0,  3,  7,   7,   14,  17,  12,  5,   26,  2,   27,  21,  9,   44,  32,  28,  16,  8,   4
  151, 151,           prime,          1,  1,  4,  8,   8,   15,  18,  13,  6,   27,  3,   28,  22,  10,  45,  33,  29,  17,  9,   5
  152, 2³ 19,         ,               2,  2,  5,  9,   9,   16,  0,   14,  7,   28,  4,   29,  23,  11,  46,  34,  30,  18,  10,  6
  153, 3² 17,         ,               0,  3,  6,  10,  10,  0,   1,   15,  8,   29,  5,   30,  24,  12,  47,  35,  31,  19,  11,  7
  154, 2 7 11,        radical,        1,  4,  0,  0,   11,  1,   2,   16,  9,   30,  6,   31,  25,  13,  48,  36,  32,  20,  12,  8
  155, 5 31,          radical,        2,  0,  1,  1,   12,  2,   3,   17,  10,  0,   7,   32,  26,  14,  49,  37,  33,  21,  13,  9
  156, 2² 3 13,       ,               0,  1,  2,  2,   0,   3,   4,   18,  11,  1,   8,   33,  27,  15,  50,  38,  34,  22,  14,  10
  157, 157,           prime,          1,  2,  3,  3,   1,   4,   5,   19,  12,  2,   9,   34,  28,  16,  51,  39,  35,  23,  15,  11
  158, 2 79,          radical,        2,  3,  4,  4,   2,   5,   6,   20,  13,  3,   10,  35,  29,  17,  52,  40,  36,  24,  16,  12
  159, 3 53,          radical,        0,  4,  5,  5,   3,   6,   7,   21,  14,  4,   11,  36,  30,  18,  0,   41,  37,  25,  17,  13
  160, 2⁵ 5,          ,               1,  0,  6,  6,   4,   7,   8,   22,  15,  5,   12,  37,  31,  19,  1,   42,  38,  26,  18,  14
  161, 7 23,          radical,        2,  1,  0,  7,   5,   8,   9,   0,   16,  6,   13,  38,  32,  20,  2,   43,  39,  27,  19,  15
  162, 2 3⁴,          ,               0,  2,  1,  8,   6,   9,   10,  1,   17,  7,   14,  39,  33,  21,  3,   44,  40,  28,  20,  16
  163, 163,           prime,          1,  3,  2,  9,   7,   10,  11,  2,   18,  8,   15,  40,  34,  22,  4,   45,  41,  29,  21,  17
  164, 2² 41,         ,               2,  4,  3,  10,  8,   11,  12,  3,   19,  9,   16,  0,   35,  23,  5,   46,  42,  30,  22,  18
