# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
4433,   11 13 31,      [24 60 84],                  radical
4434,   2 3 739,       [13 85],                     radical
4435,   5 887,         [12 72 78],                  radical
4436,   2² 1109,       [15 27 45 87],               
4437,   3² 17 29,      [14 46 80],                  
4438,   2 7 317,       [75 81],                     radical
4439,   23 193,        [18 42],                     radical
4440,   2³ 3 5 37,     [17 43 67 77 83],            
4441,   4441,          [78],                        prime
4442,   2 2221,        [21 51],                     radical
4443,   3 1481,        [20 70 80],                  radical
4444,   2² 11 101,     [3],                         
4445,   5 7 127,       [36 48 72],                  radical
4446,   2 3² 13 19,    [5 37 73],                   
4447,   4447,          [],                          prime
4448,   2⁵ 139,        [75 99],                     
4449,   3 1483,        [2 8 58 100],                radical
4450,   2 5² 89,       [],                          
4451,   4451,          [30 42],                     prime
4452,   2² 3 7 53,     [5 11 29 31 55 61 95],       
4453,   61 73,         [30 96],                     radical
4454,   2 17 131,      [3 63],                      radical
4455,   3⁴ 5 11,       [8 58 64 92],                
4456,   2³ 557,        [93],                        
4457,   4457,          [6 36 60 66],                prime
4458,   2 3 743,       [35 49 61],                  radical
4459,   7³ 13,         [],                          
4460,   2² 5 223,      [3 63 87],                   
4461,   3 1487,        [20 52 88],                  radical
4462,   2 23 97,       [21 99],                     radical
4463,   4463,          [54],                        prime
4464,   2⁴ 3² 31,      [17 43 55],                  
4465,   5 19 47,       [18 42],                     radical
4466,   2 7 11 29,     [15 57],                     radical
4467,   3 1489,        [16 26 46 94],               radical
4468,   2² 1117,       [45],                        
4469,   41 109,        [12 48 78],                  radical
4470,   2 3 5 149,     [13 23 47 49 79 97],         radical
4471,   17 263,        [48],                        radical
4472,   2³ 13 43,      [9 21 51 75],                
4473,   3² 7 71,       [10 50 76],                  
4474,   2 2237,        [33],                        radical
4475,   5² 179,        [18],                        
4476,   2² 3 373,      [85],                        
4477,   11² 37,        [30 36],                     
4478,   2 2239,        [15 69],                     radical
4479,   3 1493,        [28 38 70 82 88],            radical
4480,   2⁷ 5 7,        [33 39],                     
4481,   4481,          [],                          prime twin
4482,   2 3³ 83,       [1 25 31 35 41 85],          
4483,   4483,          [36],                        prime twin
4484,   2² 19 59,      [33 63],                     
4485,   3 5 13 23,     [22 28 34 38 62 64 76],      radical
4486,   2 2243,        [63],                        radical
4487,   7 641,         [6 30 36 96],                radical
4488,   2³ 3 11 17,    [5 25 31 79],                
4489,   67²,           [],                          prime power
4490,   2 5 449,       [27 33 93],                  radical
4491,   3² 499,        [28 70 100],                 
4492,   2² 1123,       [69],                        
4493,   4493,          [30],                        prime
4494,   2 3 7 107,     [13 53 73 97],               radical
4495,   5 29 31,       [12 54 72],                  radical
4496,   2⁴ 281,        [87],                        
4497,   3 1499,        [16 50 100],                 radical
4498,   2 13 173,      [15 51],                     radical
4499,   11 409,        [18 48],                     radical
4500,   2² 3² 5³,      [7 17 19 49 91],             
4501,   7 643,         [18 60],                     radical
4502,   2 2251,        [21 45 81],                  radical
4503,   3 19 79,       [10 20 46 80 94],            radical
4504,   2³ 563,        [57 63],                     
4505,   5 17 53,       [12 42],                     radical
4506,   2 3 751,       [13 43 55 85 97],            radical
4507,   4507,          [60 84],                     prime
4508,   2² 7² 23,      [15],                        
4509,   3³ 167,        [52 58 88],                  
4510,   2 5 11 41,     [3 87],                      radical
4511,   13 347,        [],                          radical
4512,   2⁵ 3 47,       [5 49 55 71 91],             
4513,   4513,          [6 90],                      prime
4514,   2 37 61,       [33],                        radical
4515,   3 5 7 43,      [2 8 32 34 52 68],           radical
4516,   2² 1129,       [3 33 75],                   
4517,   4517,          [66],                        prime twin
4518,   2 3² 251,      [1 5],                       
4519,   4519,          [72 78],                     prime twin
4520,   2³ 5 113,      [3 27 63],                   
4521,   3 11 137,      [2 28 40 70 100],            radical
4522,   2 7 17 19,     [39 75 81 99],               radical
4523,   4523,          [60],                        prime
4524,   2² 3 13 29,    [43 67 73],                  
4525,   5² 181,        [42 78],                     
4526,   2 31 73,       [],                          radical
4527,   3² 503,        [20 34 64 70 76],            
4528,   2⁴ 283,        [21],                        
4529,   7 647,         [],                          radical
4530,   2 3 5 151,     [17 37 67 73],               radical
4531,   23 197,        [18 90],                     radical
4532,   2² 11 103,     [15 51],                     
4533,   3 1511,        [14 16 50 70],               radical
4534,   2 2267,        [15 27 87],                  radical
4535,   5 907,         [12],                        radical
4536,   2³ 3⁴ 7,       [13 55 85],                  
4537,   13 349,        [24 30 54],                  radical
4538,   2 2269,        [45],                        radical
4539,   3 17 89,       [22 58 82 98],               radical
4540,   2² 5 227,      [21 27 57 99],               
4541,   19 239,        [],                          radical
4542,   2 3 757,       [19 25 49 61 79 95],         radical
4543,   7 11 59,       [24 60 96],                  radical
4544,   2⁶ 71,         [93],                        
4545,   3² 5 101,      [22 38 52 94 98],            
4546,   2 2273,        [],                          radical
4547,   4547,          [90 96],                     prime twin
4548,   2² 3 379,      [1 35 55 91],                
4549,   4549,          [42],                        prime twin
4550,   2 5² 7 13,     [33 87 93 99],               
4551,   3 37 41,       [32 70 88 100],              radical
4552,   2³ 569,        [39 45 69],                  
4553,   29 157,        [30 90 96],                  radical
4554,   2 3² 11 23,    [7 37 97],                   
4555,   5 911,         [6 36 42 48],                radical
4556,   2² 17 67,      [93],                        
4557,   3 7² 31,       [10 34 40 64 94 100],        
4558,   2 43 53,       [9 39 45],                   radical
4559,   47 97,         [78],                        radical
4560,   2⁴ 3 5 19,     [37 43 77 79 97],            
4561,   4561,          [42 78],                     prime
4562,   2 2281,        [81],                        radical
4563,   3³ 13²,        [40 80 100],                 
4564,   2² 7 163,      [3 57],                      
